Timestamp (s),Power (mW)
0.00,4.00
0.04,3.92
0.07,3.52
0.11,3.51
0.14,3.51
0.18,3.51
0.21,3.53
0.25,3.55
0.28,3.50
0.32,3.52
0.35,3.53
0.39,3.50
0.42,3.53
0.46,3.51
0.50,3.52
0.53,3.53
0.57,3.52
0.60,3.50
0.64,3.51
0.67,3.52
0.71,3.51
0.74,3.51
0.78,3.52
0.81,3.51
0.85,3.50
0.88,3.56
0.92,3.52
0.95,3.49
0.99,3.48
1.03,3.70
1.06,3.51
1.10,3.53
1.13,3.55
1.17,3.51
1.20,3.50
1.24,3.51
1.27,3.50
1.31,3.53
1.34,3.51
1.38,3.53
1.41,3.59
1.45,3.50
1.48,3.50
1.52,3.51
1.55,3.51
1.59,3.52
1.62,3.62
1.66,3.50
1.69,3.52
1.73,3.51
1.76,3.52
1.80,3.49
1.84,3.53
1.87,3.50
1.91,3.53
1.94,3.52
1.98,3.51
2.01,3.50
2.05,3.53
2.08,3.49
2.12,3.51
2.15,3.54
2.19,3.52
2.22,3.52
2.26,3.51
2.29,3.55
2.33,3.54
2.36,3.50
2.40,3.48
2.43,3.49
2.47,3.54
2.50,3.52
2.54,3.50
2.57,3.50
2.61,3.50
2.64,3.51
2.68,3.49
2.71,3.55
2.75,3.50
2.78,3.49
2.82,3.51
2.85,3.52
2.89,3.51
2.92,3.51
2.96,3.50
2.99,3.52
3.03,3.52
3.06,3.50
3.10,3.52
3.13,3.51
3.17,3.49
3.21,3.50
3.24,3.51
3.28,3.70
3.31,3.52
3.35,3.49
3.38,3.49
3.42,3.49
3.45,3.52
3.49,3.51
3.52,3.54
3.56,3.54
3.59,3.50
3.63,3.54
3.66,3.48
3.70,3.48
3.73,3.53
3.77,3.51
3.80,3.51
3.84,3.53
3.87,3.50
3.91,3.50
3.94,3.50
3.98,3.51
4.01,3.71
4.05,3.52
4.08,3.50
4.12,3.51
4.15,3.50
4.19,3.51
4.22,3.51
4.26,3.50
4.29,3.50
4.33,3.51
4.36,3.52
4.40,3.53
4.43,3.52
4.47,3.49
4.50,3.51
4.54,3.49
4.57,3.50
4.61,3.49
4.64,3.52
4.68,3.50
4.71,3.51
4.75,3.54
4.79,3.51
4.82,3.52
4.86,3.48
4.89,3.50
4.93,3.52
4.96,3.50
5.00,3.50
5.03,3.48
5.07,3.49
5.10,3.52
5.14,3.55
5.17,3.48
5.21,3.51
5.24,3.50
5.28,3.49
5.31,3.50
5.35,3.48
5.38,3.49
5.42,3.51
5.45,3.49
5.49,3.49
5.52,3.51
5.56,3.54
5.59,3.49
5.63,3.52
5.66,3.50
5.70,3.51
5.73,3.49
5.77,3.51
5.80,3.50
5.84,3.53
5.87,3.51
5.91,3.50
5.94,3.82
5.98,3.50
6.01,3.52
6.05,3.53
6.08,3.48
6.12,3.52
6.16,3.48
6.19,3.51
6.23,3.55
6.26,3.49
6.30,3.50
6.33,3.50
6.37,3.50
6.40,3.48
6.44,3.49
6.47,3.48
6.51,3.50
6.54,3.48
6.58,3.49
6.61,3.49
6.65,3.50
6.68,3.48
6.72,3.49
6.75,3.48
6.79,3.50
6.82,3.51
6.86,3.50
6.89,3.53
6.93,3.48
6.96,3.54
7.00,3.47
7.03,3.50
7.07,3.48
7.10,3.50
7.14,3.51
7.17,3.49
7.21,3.55
7.24,3.48
7.28,3.49
7.31,3.52
7.35,3.48
7.38,3.48
7.42,3.48
7.45,3.50
7.49,3.48
7.53,3.52
7.56,3.48
7.60,3.48
7.63,3.49
7.67,3.48
7.70,3.48
7.74,3.50
7.77,3.48
7.81,3.49
7.84,3.50
7.88,3.50
7.91,3.49
7.95,3.48
7.98,3.49
8.02,3.50
8.05,3.50
8.09,3.49
8.12,3.49
8.16,3.54
8.19,3.49
8.23,3.48
8.26,3.49
8.30,3.47
8.33,3.49
8.37,3.48
8.41,3.49
8.44,3.50
8.48,3.64
8.51,3.67
8.55,3.50
8.58,3.47
8.62,3.48
8.65,3.48
8.69,3.49
8.72,3.48
8.76,3.51
8.79,3.54
8.83,3.49
8.86,3.47
8.90,3.49
8.93,3.50
8.97,3.50
9.00,3.49
9.04,3.51
9.07,3.76
9.11,3.48
9.14,3.46
9.18,3.48
9.21,3.48
9.25,3.47
9.28,3.49
9.32,3.49
9.35,3.49
9.39,3.52
9.43,3.49
9.46,3.51
9.50,3.49
9.53,3.70
9.57,3.49
9.60,3.48
9.64,3.50
9.67,3.47
9.71,3.47
9.74,3.48
9.78,3.52
9.81,3.48
9.85,3.48
9.88,3.47
9.92,3.49
9.95,3.50
9.99,3.48
10.02,3.94
10.06,3.93
10.11,3.94
10.15,3.97
10.18,4.79
10.22,4.00
10.26,3.96
10.30,4.20
10.33,4.69
10.37,4.03
10.41,3.95
10.45,4.04
10.49,5.24
10.52,3.90
10.56,3.98
10.60,3.79
10.64,3.98
10.68,4.59
10.72,3.98
10.76,3.94
10.79,4.06
10.83,4.65
10.87,3.99
10.91,3.93
10.95,5.62
10.98,3.86
11.02,4.04
11.06,3.94
11.09,4.11
11.13,4.65
11.17,4.01
11.21,4.00
11.25,5.00
11.29,5.54
11.32,4.29
11.36,4.62
11.40,4.04
11.44,3.95
11.48,5.63
11.51,3.93
11.55,3.99
11.59,3.97
11.63,5.56
11.66,3.96
11.70,3.99
11.74,3.83
11.78,3.96
11.81,4.90
11.85,3.94
11.89,5.02
11.93,4.86
11.96,3.93
12.01,3.95
12.04,4.20
12.08,4.65
12.12,3.84
12.16,4.08
12.20,4.04
12.23,5.63
12.27,3.95
12.31,4.01
12.35,3.88
12.39,4.04
12.42,5.64
12.46,3.83
12.50,4.83
12.54,3.99
12.58,3.96
12.62,4.09
12.66,4.75
12.69,3.94
12.74,3.82
12.78,4.05
12.82,4.38
12.86,4.00
12.90,4.02
12.93,3.97
12.97,4.70
13.01,4.80
13.05,4.09
13.09,4.03
13.13,5.58
13.17,3.95
13.21,4.00
13.24,3.97
13.28,4.62
13.32,4.01
13.36,3.89
13.40,4.01
13.43,4.92
13.47,5.63
13.51,3.81
13.54,5.51
13.58,4.08
13.62,3.89
13.66,3.87
13.70,3.84
13.74,3.97
13.78,3.93
13.81,4.13
13.86,5.48
13.89,3.81
13.93,3.99
13.97,3.85
14.01,4.01
14.04,4.68
14.09,3.94
14.13,4.09
14.16,3.86
14.20,3.98
14.24,4.78
14.28,4.06
14.32,4.04
14.36,3.88
14.39,3.85
14.43,3.87
14.47,3.88
14.51,4.06
14.55,4.04
14.58,3.87
14.62,4.05
14.66,4.31
14.70,5.02
14.74,4.94
14.77,3.96
14.82,4.05
14.85,4.30
14.89,4.65
14.93,3.88
14.98,4.10
15.02,3.87
