Timestamp (s),Power (mW)
0.00,5315.46
0.01,5315.46
0.02,5274.88
0.03,5274.88
0.05,5274.88
0.06,5274.88
0.07,5274.88
0.08,5274.88
0.09,5274.88
0.10,5234.30
0.12,5234.30
0.13,5234.30
0.14,5234.30
0.15,5234.30
0.16,5234.30
0.17,5234.30
0.18,5234.30
0.20,5193.73
0.21,5193.73
0.22,5193.73
0.23,5193.73
0.24,5193.73
0.25,5201.92
0.26,5193.73
0.28,5193.73
0.29,5193.73
0.30,5201.92
0.31,5201.92
0.32,5161.28
0.33,5161.28
0.34,5161.28
0.36,5161.28
0.37,5161.28
0.38,5161.28
0.39,5161.28
0.40,5161.28
0.41,5161.28
0.42,5153.15
0.44,5161.28
0.45,5161.28
0.46,5161.28
0.47,5161.28
0.48,5161.28
0.49,5161.28
0.51,5120.64
0.52,5161.28
0.53,5153.15
0.54,5153.15
0.55,5161.28
0.56,5153.15
0.57,5120.64
0.59,5120.64
0.60,5120.64
0.61,5120.64
0.62,5120.64
0.63,5120.64
0.64,5120.64
0.65,5120.64
0.67,5120.64
0.68,5120.64
0.69,5120.64
0.70,5120.64
0.71,5120.64
0.72,5120.64
0.73,5120.64
0.75,5120.64
0.76,5120.64
0.77,5120.64
0.78,5120.64
0.79,5120.64
0.80,5120.64
0.81,5120.64
0.83,5120.64
0.84,5120.64
0.85,5120.64
0.86,5120.64
0.87,5120.64
0.88,5120.64
0.90,5112.58
0.91,5120.64
0.92,5112.58
0.93,5120.64
0.94,5120.64
0.95,5120.64
0.96,5120.64
0.98,5120.64
0.99,5120.64
1.00,5080.00
1.01,5080.00
1.02,5080.00
1.03,5080.00
1.04,5080.00
1.06,5080.00
1.07,5080.00
1.08,5080.00
1.09,5080.00
1.10,5080.00
1.11,5072.00
1.13,5080.00
1.14,5080.00
1.15,5080.00
1.16,5080.00
1.17,5080.00
1.18,5080.00
1.19,5080.00
1.21,5080.00
1.22,5080.00
1.23,5080.00
1.24,5080.00
1.25,5080.00
1.26,5080.00
1.27,5080.00
1.29,5080.00
1.30,5080.00
1.31,5072.00
1.32,5080.00
1.33,5080.00
1.34,5080.00
1.35,5072.00
1.37,5080.00
1.38,5080.00
1.39,5080.00
1.40,5080.00
1.41,5080.00
1.42,5080.00
1.43,5080.00
1.45,5080.00
1.46,5080.00
1.47,5080.00
1.48,5080.00
1.49,5080.00
1.50,5080.00
1.52,5080.00
1.53,5080.00
1.54,5080.00
1.55,5080.00
1.56,5080.00
1.57,5080.00
1.58,5080.00
1.60,5080.00
1.61,5080.00
1.62,5080.00
1.63,5080.00
1.64,5080.00
1.65,5080.00
1.66,5080.00
1.68,5080.00
1.69,5080.00
1.70,5080.00
1.71,5080.00
1.72,5080.00
1.73,5080.00
1.74,5080.00
1.76,5080.00
1.77,5080.00
1.78,5080.00
1.79,5080.00
1.80,5080.00
1.81,5072.00
