Timestamp (s),Power (mW)
2025-03-27 15:03:24.099692,5315.46
2025-03-27 15:03:24.111425,5315.46
2025-03-27 15:03:24.122973,5315.46
2025-03-27 15:03:24.134500,5315.46
2025-03-27 15:03:24.146045,5315.46
2025-03-27 15:03:24.157667,5274.88
2025-03-27 15:03:24.169160,5274.88
2025-03-27 15:03:24.180661,5274.88
2025-03-27 15:03:24.192189,5274.88
2025-03-27 15:03:24.203977,5274.88
2025-03-27 15:03:24.215491,5274.88
2025-03-27 15:03:24.227020,5274.88
2025-03-27 15:03:24.238561,5234.30
2025-03-27 15:03:24.250123,5234.30
2025-03-27 15:03:24.261709,5234.30
2025-03-27 15:03:24.273205,5234.30
2025-03-27 15:03:24.284714,5234.30
2025-03-27 15:03:24.296255,5234.30
2025-03-27 15:03:24.307834,5234.30
2025-03-27 15:03:24.319371,5234.30
2025-03-27 15:03:24.330860,5234.30
2025-03-27 15:03:24.342376,5234.30
2025-03-27 15:03:24.353845,5193.73
2025-03-27 15:03:24.365330,5193.73
2025-03-27 15:03:24.376805,5193.73
2025-03-27 15:03:24.388340,5193.73
2025-03-27 15:03:24.399824,5201.92
2025-03-27 15:03:24.411364,5201.92
2025-03-27 15:03:24.422870,5201.92
2025-03-27 15:03:24.434420,5201.92
2025-03-27 15:03:24.445979,5201.92
2025-03-27 15:03:24.457480,5201.92
2025-03-27 15:03:24.469002,5161.28
2025-03-27 15:03:24.480484,5161.28
2025-03-27 15:03:24.491990,5161.28
2025-03-27 15:03:24.503489,5161.28
2025-03-27 15:03:24.514946,5161.28
2025-03-27 15:03:24.526475,5161.28
2025-03-27 15:03:24.538042,5161.28
2025-03-27 15:03:24.549506,5161.28
2025-03-27 15:03:24.560977,5153.15
2025-03-27 15:03:24.572511,5153.15
2025-03-27 15:03:24.584183,5153.15
2025-03-27 15:03:24.595747,5161.28
2025-03-27 15:03:24.607281,5161.28
2025-03-27 15:03:24.618810,5161.28
2025-03-27 15:03:24.630322,5161.28
2025-03-27 15:03:24.641834,5161.28
2025-03-27 15:03:24.653347,5161.28
2025-03-27 15:03:24.664915,5161.28
2025-03-27 15:03:24.676646,5161.28
2025-03-27 15:03:24.688219,5161.28
2025-03-27 15:03:24.699727,5161.28
2025-03-27 15:03:24.711244,5161.28
2025-03-27 15:03:24.722781,5161.28
2025-03-27 15:03:24.734272,5153.15
2025-03-27 15:03:24.745784,5161.28
2025-03-27 15:03:24.757291,5161.28
2025-03-27 15:03:24.768754,5161.28
2025-03-27 15:03:24.780237,5120.64
2025-03-27 15:03:24.791780,5120.64
2025-03-27 15:03:24.803313,5120.64
2025-03-27 15:03:24.814858,5120.64
2025-03-27 15:03:24.826378,5120.64
2025-03-27 15:03:24.837875,5120.64
2025-03-27 15:03:24.849354,5120.64
2025-03-27 15:03:24.860821,5120.64
2025-03-27 15:03:24.872408,5120.64
2025-03-27 15:03:24.883889,5120.64
2025-03-27 15:03:24.895351,5120.64
2025-03-27 15:03:24.906869,5120.64
2025-03-27 15:03:24.918395,5120.64
2025-03-27 15:03:24.929957,5120.64
2025-03-27 15:03:24.941449,5120.64
2025-03-27 15:03:24.952929,5120.64
2025-03-27 15:03:24.964419,5112.58
2025-03-27 15:03:24.975898,5112.58
2025-03-27 15:03:24.987394,5120.64
2025-03-27 15:03:24.998867,5120.64
2025-03-27 15:03:25.010379,5120.64
2025-03-27 15:03:25.021929,5120.64
2025-03-27 15:03:25.033451,5120.64
2025-03-27 15:03:25.044950,5120.64
2025-03-27 15:03:25.056435,5120.64
2025-03-27 15:03:25.067923,5120.64
2025-03-27 15:03:25.079403,5120.64
2025-03-27 15:03:25.090894,5120.64
2025-03-27 15:03:25.102382,5120.64
2025-03-27 15:03:25.113900,5120.64
2025-03-27 15:03:25.125371,5120.64
2025-03-27 15:03:25.136872,5120.64
2025-03-27 15:03:25.148367,5080.00
2025-03-27 15:03:25.159834,5080.00
2025-03-27 15:03:25.171294,5080.00
2025-03-27 15:03:25.182771,5080.00
2025-03-27 15:03:25.194279,5080.00
2025-03-27 15:03:25.205769,5080.00
2025-03-27 15:03:25.217320,5080.00
2025-03-27 15:03:25.228830,5080.00
2025-03-27 15:03:25.240304,5080.00
2025-03-27 15:03:25.251764,5080.00
2025-03-27 15:03:25.263243,5080.00
2025-03-27 15:03:25.274721,5080.00
2025-03-27 15:03:25.286227,5080.00
2025-03-27 15:03:25.297728,5080.00
2025-03-27 15:03:25.309268,5080.00
2025-03-27 15:03:25.320799,5080.00
2025-03-27 15:03:25.332300,5080.00
2025-03-27 15:03:25.343777,5080.00
2025-03-27 15:03:25.355248,5080.00
2025-03-27 15:03:25.366686,5080.00
2025-03-27 15:03:25.378143,5080.00
2025-03-27 15:03:25.389598,5080.00
2025-03-27 15:03:25.401058,5080.00
2025-03-27 15:03:25.412527,5080.00
2025-03-27 15:03:25.424053,5080.00
2025-03-27 15:03:25.435529,5080.00
2025-03-27 15:03:25.446996,5080.00
2025-03-27 15:03:25.458457,5072.00
2025-03-27 15:03:25.469934,5080.00
2025-03-27 15:03:25.481402,5080.00
2025-03-27 15:03:25.492837,5080.00
2025-03-27 15:03:25.504399,5080.00
2025-03-27 15:03:25.515874,5080.00
2025-03-27 15:03:25.527375,5080.00
2025-03-27 15:03:25.538860,5080.00
2025-03-27 15:03:25.550350,5080.00
2025-03-27 15:03:25.561793,5080.00
2025-03-27 15:03:25.573287,5080.00
2025-03-27 15:03:25.584754,5080.00
2025-03-27 15:03:25.596217,5080.00
2025-03-27 15:03:25.607667,5080.00
2025-03-27 15:03:25.619197,5080.00
2025-03-27 15:03:25.630675,5080.00
2025-03-27 15:03:25.642147,5080.00
2025-03-27 15:03:25.653612,5080.00
2025-03-27 15:03:25.665106,5080.00
2025-03-27 15:03:25.676585,5080.00
2025-03-27 15:03:25.688042,5080.00
2025-03-27 15:03:25.699648,5080.00
2025-03-27 15:03:25.711211,5072.00
2025-03-27 15:03:25.722740,5072.00
2025-03-27 15:03:25.734334,5080.00
2025-03-27 15:03:25.745810,5080.00
2025-03-27 15:03:25.757276,5080.00
2025-03-27 15:03:25.768744,5080.00
2025-03-27 15:03:25.780205,5080.00
2025-03-27 15:03:25.791704,5080.00
2025-03-27 15:03:25.803232,5080.00
2025-03-27 15:03:25.814712,5080.00
2025-03-27 15:03:25.826257,5080.00
2025-03-27 15:03:25.837765,5080.00
2025-03-27 15:03:25.849208,5080.00
2025-03-27 15:03:25.860679,5080.00
2025-03-27 15:03:25.872146,5080.00
2025-03-27 15:03:25.883650,5080.00
2025-03-27 15:03:25.895115,5080.00
2025-03-27 15:03:25.906602,5080.00
2025-03-27 15:03:25.918113,5080.00
2025-03-27 15:03:25.929592,5080.00
2025-03-27 15:03:25.941095,5080.00
2025-03-27 15:03:25.952634,5080.00
2025-03-27 15:03:25.964144,5080.00
2025-03-27 15:03:25.975651,5080.00
2025-03-27 15:03:25.987163,5072.00
2025-03-27 15:03:25.998749,5080.00
2025-03-27 15:03:26.010270,5072.00
2025-03-27 15:03:26.021810,5072.00
2025-03-27 15:03:26.033340,5080.00
2025-03-27 15:03:26.044863,5080.00
2025-03-27 15:03:26.056380,5072.00
2025-03-27 15:03:26.067877,5080.00
2025-03-27 15:03:26.079340,5080.00
2025-03-27 15:03:26.090821,5080.00
2025-03-27 15:03:26.102281,5080.00
2025-03-27 15:03:26.113764,5072.00
2025-03-27 15:03:26.125284,5080.00
2025-03-27 15:03:26.136822,5080.00
2025-03-27 15:03:26.148346,5080.00
2025-03-27 15:03:26.159857,5080.00
2025-03-27 15:03:26.171330,5080.00
2025-03-27 15:03:26.182799,5080.00
2025-03-27 15:03:26.194283,5080.00
2025-03-27 15:03:26.205833,5080.00
2025-03-27 15:03:26.217380,5080.00
2025-03-27 15:03:26.228914,5080.00
2025-03-27 15:03:26.240444,5080.00
2025-03-27 15:03:26.251932,5080.00
2025-03-27 15:03:26.263425,5080.00
2025-03-27 15:03:26.274934,5080.00
2025-03-27 15:03:26.286450,5080.00
2025-03-27 15:03:26.297976,5080.00
2025-03-27 15:03:26.309479,5080.00
2025-03-27 15:03:26.321044,5080.00
2025-03-27 15:03:26.332517,5080.00
2025-03-27 15:03:26.344014,5080.00
2025-03-27 15:03:26.355537,5080.00
2025-03-27 15:03:26.367007,5080.00
2025-03-27 15:03:26.378480,5080.00
2025-03-27 15:03:26.389987,5080.00
2025-03-27 15:03:26.401483,5080.00
2025-03-27 15:03:26.412999,5080.00
2025-03-27 15:03:26.424484,5080.00
2025-03-27 15:03:26.436038,5080.00
2025-03-27 15:03:26.447589,5080.00
2025-03-27 15:03:26.459095,5080.00
2025-03-27 15:03:26.470589,5072.00
2025-03-27 15:03:26.482057,5080.00
2025-03-27 15:03:26.493526,5080.00
2025-03-27 15:03:26.504991,5080.00
2025-03-27 15:03:26.516481,5080.00
2025-03-27 15:03:26.528038,5080.00
2025-03-27 15:03:26.539505,5080.00
2025-03-27 15:03:26.550989,5080.00
2025-03-27 15:03:26.562459,5080.00
2025-03-27 15:03:26.573915,5080.00
2025-03-27 15:03:26.585378,5080.00
2025-03-27 15:03:26.596836,5072.00
2025-03-27 15:03:26.608316,5080.00
2025-03-27 15:03:26.619789,5080.00
2025-03-27 15:03:26.631326,5080.00
2025-03-27 15:03:26.642808,5080.00
2025-03-27 15:03:26.654284,5080.00
2025-03-27 15:03:26.665749,5080.00
