Timestamp (s),Power (mW)
2025-03-27 15:20:14.271198,3.47
2025-03-27 15:20:14.307793,3.47
2025-03-27 15:20:14.343030,3.50
2025-03-27 15:20:14.378092,3.46
2025-03-27 15:20:14.413262,3.46
2025-03-27 15:20:14.448351,3.46
2025-03-27 15:20:14.483469,3.45
2025-03-27 15:20:14.518482,3.45
2025-03-27 15:20:14.553522,3.47
2025-03-27 15:20:14.588516,3.45
2025-03-27 15:20:14.623519,3.45
2025-03-27 15:20:14.658786,3.50
2025-03-27 15:20:14.693844,3.44
2025-03-27 15:20:14.728874,3.47
2025-03-27 15:20:14.763932,3.50
2025-03-27 15:20:14.798958,3.46
2025-03-27 15:20:14.834030,3.47
2025-03-27 15:20:14.869120,3.47
2025-03-27 15:20:14.904181,3.47
2025-03-27 15:20:14.939237,3.44
2025-03-27 15:20:14.974178,3.44
2025-03-27 15:20:15.009232,3.46
2025-03-27 15:20:15.044266,3.45
2025-03-27 15:20:15.079409,3.44
2025-03-27 15:20:15.114441,3.49
2025-03-27 15:20:15.149463,3.43
2025-03-27 15:20:15.184474,3.44
2025-03-27 15:20:15.219496,3.51
2025-03-27 15:20:15.254646,3.44
2025-03-27 15:20:15.289716,3.45
2025-03-27 15:20:15.324824,3.45
2025-03-27 15:20:15.359856,3.48
2025-03-27 15:20:15.394924,3.65
2025-03-27 15:20:15.429944,3.46
2025-03-27 15:20:15.465114,3.43
2025-03-27 15:20:15.501263,3.44
2025-03-27 15:20:15.536263,3.46
2025-03-27 15:20:15.571373,3.45
2025-03-27 15:20:15.606410,3.42
2025-03-27 15:20:15.641502,3.45
2025-03-27 15:20:15.676580,3.49
2025-03-27 15:20:15.711651,3.44
2025-03-27 15:20:15.746668,3.44
2025-03-27 15:20:15.781684,3.45
2025-03-27 15:20:15.816681,3.43
2025-03-27 15:20:15.851744,3.43
2025-03-27 15:20:15.886815,3.46
2025-03-27 15:20:15.921851,3.44
2025-03-27 15:20:15.957473,3.45
2025-03-27 15:20:15.992498,3.46
2025-03-27 15:20:16.027526,3.43
2025-03-27 15:20:16.062603,3.65
2025-03-27 15:20:16.097786,3.44
2025-03-27 15:20:16.132839,3.43
2025-03-27 15:20:16.167817,3.43
2025-03-27 15:20:16.202868,3.47
2025-03-27 15:20:16.237924,3.43
2025-03-27 15:20:16.273078,3.42
2025-03-27 15:20:16.308188,3.45
2025-03-27 15:20:16.343201,3.43
2025-03-27 15:20:16.378262,3.43
2025-03-27 15:20:16.413267,3.43
2025-03-27 15:20:16.448384,3.43
2025-03-27 15:20:16.483441,3.45
2025-03-27 15:20:16.518414,3.45
2025-03-27 15:20:16.553424,3.43
2025-03-27 15:20:16.588446,3.45
2025-03-27 15:20:16.623472,3.58
2025-03-27 15:20:16.658644,3.44
2025-03-27 15:20:16.693670,3.43
2025-03-27 15:20:16.728772,3.44
2025-03-27 15:20:16.763818,3.45
2025-03-27 15:20:16.798846,3.43
2025-03-27 15:20:16.833856,3.45
2025-03-27 15:20:16.868956,3.46
2025-03-27 15:20:16.903975,3.42
2025-03-27 15:20:16.939056,3.44
2025-03-27 15:20:16.974065,3.44
2025-03-27 15:20:17.009104,3.44
2025-03-27 15:20:17.044149,3.44
2025-03-27 15:20:17.079263,3.46
2025-03-27 15:20:17.114262,3.45
2025-03-27 15:20:17.149263,3.42
2025-03-27 15:20:17.184215,3.45
2025-03-27 15:20:17.219270,3.41
2025-03-27 15:20:17.254266,3.44
2025-03-27 15:20:17.289329,3.45
2025-03-27 15:20:17.324263,3.42
2025-03-27 15:20:17.359360,3.43
2025-03-27 15:20:17.394329,3.44
2025-03-27 15:20:17.429269,3.43
2025-03-27 15:20:17.464392,3.44
2025-03-27 15:20:17.499456,3.44
2025-03-27 15:20:17.534517,3.42
2025-03-27 15:20:17.570462,3.43
2025-03-27 15:20:17.605436,3.42
2025-03-27 15:20:17.640487,3.45
2025-03-27 15:20:17.675511,3.42
2025-03-27 15:20:17.710590,3.42
2025-03-27 15:20:17.745574,3.43
2025-03-27 15:20:17.780530,3.43
2025-03-27 15:20:17.815557,3.43
2025-03-27 15:20:17.850608,3.44
2025-03-27 15:20:17.885720,3.42
2025-03-27 15:20:17.920773,3.43
2025-03-27 15:20:17.955793,3.47
2025-03-27 15:20:17.990762,3.43
2025-03-27 15:20:18.025760,3.42
2025-03-27 15:20:18.060822,3.48
2025-03-27 15:20:18.095960,3.42
2025-03-27 15:20:18.130998,3.41
2025-03-27 15:20:18.166003,3.44
2025-03-27 15:20:18.200983,3.43
2025-03-27 15:20:18.236013,3.43
2025-03-27 15:20:18.271090,3.47
2025-03-27 15:20:18.306129,3.43
2025-03-27 15:20:18.341072,3.42
2025-03-27 15:20:18.376146,3.42
2025-03-27 15:20:18.411143,3.43
2025-03-27 15:20:18.446219,3.42
2025-03-27 15:20:18.481214,3.42
2025-03-27 15:20:18.516231,3.42
2025-03-27 15:20:18.551257,3.42
2025-03-27 15:20:18.586265,3.43
2025-03-27 15:20:18.621264,3.44
2025-03-27 15:20:18.656269,3.42
2025-03-27 15:20:18.691368,3.44
2025-03-27 15:20:18.726415,3.45
2025-03-27 15:20:18.761400,3.43
2025-03-27 15:20:18.796424,3.42
2025-03-27 15:20:18.831357,3.42
2025-03-27 15:20:18.866356,3.41
2025-03-27 15:20:18.901459,3.42
2025-03-27 15:20:18.936475,3.44
2025-03-27 15:20:18.971411,3.41
2025-03-27 15:20:19.006394,3.43
2025-03-27 15:20:19.041435,3.42
2025-03-27 15:20:19.076425,3.44
2025-03-27 15:20:19.111481,3.41
2025-03-27 15:20:19.146516,3.42
2025-03-27 15:20:19.181500,3.44
2025-03-27 15:20:19.216510,3.43
2025-03-27 15:20:19.251494,3.41
2025-03-27 15:20:19.287004,3.42
2025-03-27 15:20:19.322239,3.41
2025-03-27 15:20:19.357237,3.42
2025-03-27 15:20:19.392360,3.43
2025-03-27 15:20:19.427392,3.43
2025-03-27 15:20:19.462417,3.42
2025-03-27 15:20:19.497503,3.46
2025-03-27 15:20:19.532561,3.43
2025-03-27 15:20:19.567578,3.41
2025-03-27 15:20:19.603477,3.46
2025-03-27 15:20:19.638442,3.42
2025-03-27 15:20:19.673542,3.41
2025-03-27 15:20:19.708595,3.44
2025-03-27 15:20:19.743769,3.43
2025-03-27 15:20:19.778788,3.43
2025-03-27 15:20:19.813879,3.44
2025-03-27 15:20:19.848994,3.41
2025-03-27 15:20:19.884063,3.41
2025-03-27 15:20:19.919092,3.44
2025-03-27 15:20:19.954189,3.43
2025-03-27 15:20:19.989189,3.42
2025-03-27 15:20:20.024176,3.44
2025-03-27 15:20:20.059161,3.42
2025-03-27 15:20:20.094326,3.41
2025-03-27 15:20:20.129385,3.42
2025-03-27 15:20:20.164392,3.43
2025-03-27 15:20:20.199419,3.42
2025-03-27 15:20:20.234461,3.42
2025-03-27 15:20:20.269505,3.43
2025-03-27 15:20:20.304578,3.43
2025-03-27 15:20:20.339613,3.82
2025-03-27 15:20:20.375248,3.45
2025-03-27 15:20:20.410625,3.41
2025-03-27 15:20:20.445798,3.42
2025-03-27 15:20:20.481491,3.42
2025-03-27 15:20:20.516603,3.44
2025-03-27 15:20:20.551798,3.42
2025-03-27 15:20:20.586850,3.42
2025-03-27 15:20:20.621844,3.48
2025-03-27 15:20:20.656913,3.45
2025-03-27 15:20:20.691926,3.42
2025-03-27 15:20:20.727400,3.43
2025-03-27 15:20:20.762430,3.40
2025-03-27 15:20:20.797376,3.43
2025-03-27 15:20:20.832400,3.41
2025-03-27 15:20:20.867333,3.41
2025-03-27 15:20:20.902392,3.47
2025-03-27 15:20:20.937483,3.41
2025-03-27 15:20:20.972606,3.42
2025-03-27 15:20:21.007632,3.45
2025-03-27 15:20:21.042663,3.41
2025-03-27 15:20:21.077701,3.41
2025-03-27 15:20:21.112766,3.42
2025-03-27 15:20:21.147837,3.43
2025-03-27 15:20:21.182917,3.43
2025-03-27 15:20:21.219142,3.44
2025-03-27 15:20:21.254221,3.41
2025-03-27 15:20:21.289346,3.41
2025-03-27 15:20:21.324402,3.45
2025-03-27 15:20:21.359422,3.40
2025-03-27 15:20:21.394450,3.40
2025-03-27 15:20:21.429463,3.42
2025-03-27 15:20:21.464496,3.43
2025-03-27 15:20:21.499554,3.40
2025-03-27 15:20:21.534750,3.42
2025-03-27 15:20:21.569815,3.42
2025-03-27 15:20:21.604839,3.43
2025-03-27 15:20:21.639901,3.42
2025-03-27 15:20:21.674884,3.40
2025-03-27 15:20:21.710023,3.42
2025-03-27 15:20:21.745090,3.64
2025-03-27 15:20:21.780175,3.65
2025-03-27 15:20:21.816341,3.41
2025-03-27 15:20:21.851264,3.40
2025-03-27 15:20:21.886266,3.42
2025-03-27 15:20:21.921262,3.41
2025-03-27 15:20:21.956352,3.42
2025-03-27 15:20:21.991376,3.45
2025-03-27 15:20:22.026385,3.42
2025-03-27 15:20:22.061426,3.41
2025-03-27 15:20:22.096454,4.00
