Timestamp (s),Power (mW)
2025-03-27 15:22:16.969082,5964.67
2025-03-27 15:22:16.980780,5964.67
2025-03-27 15:22:16.992225,5924.10
2025-03-27 15:22:17.003853,5924.10
2025-03-27 15:22:17.015240,5883.52
2025-03-27 15:22:17.026591,5883.52
2025-03-27 15:22:17.038078,5842.94
2025-03-27 15:22:17.049585,5842.94
2025-03-27 15:22:17.061093,5802.37
2025-03-27 15:22:17.072737,5802.37
2025-03-27 15:22:17.084522,5761.79
2025-03-27 15:22:17.096022,5761.79
2025-03-27 15:22:17.107529,5721.22
2025-03-27 15:22:17.119021,5721.22
2025-03-27 15:22:17.130486,5680.64
2025-03-27 15:22:17.142014,5680.64
2025-03-27 15:22:17.153517,5640.06
2025-03-27 15:22:17.165002,5640.06
2025-03-27 15:22:17.176520,5640.06
2025-03-27 15:22:17.188000,5599.49
2025-03-27 15:22:17.199537,5599.49
2025-03-27 15:22:17.211078,5599.49
2025-03-27 15:22:17.222704,5558.91
2025-03-27 15:22:17.234255,5558.91
2025-03-27 15:22:17.245828,5558.91
2025-03-27 15:22:17.257369,5518.34
2025-03-27 15:22:17.268875,5518.34
2025-03-27 15:22:17.280386,5518.34
2025-03-27 15:22:17.291944,5477.76
2025-03-27 15:22:17.303492,5477.76
2025-03-27 15:22:17.315000,5477.76
2025-03-27 15:22:17.326512,5437.18
2025-03-27 15:22:17.338039,5437.18
2025-03-27 15:22:17.349562,5437.18
2025-03-27 15:22:17.361094,5437.18
2025-03-27 15:22:17.372606,5396.61
2025-03-27 15:22:17.384141,5396.61
2025-03-27 15:22:17.395620,5396.61
2025-03-27 15:22:17.407160,5396.61
2025-03-27 15:22:17.418775,5396.61
2025-03-27 15:22:17.430301,5356.03
2025-03-27 15:22:17.441805,5356.03
2025-03-27 15:22:17.453297,5356.03
2025-03-27 15:22:17.464816,5356.03
2025-03-27 15:22:17.476320,5356.03
2025-03-27 15:22:17.487857,5315.46
2025-03-27 15:22:17.499422,5315.46
2025-03-27 15:22:17.510962,5315.46
2025-03-27 15:22:17.522478,5315.46
2025-03-27 15:22:17.533977,5315.46
2025-03-27 15:22:17.545479,5315.46
2025-03-27 15:22:17.556982,5274.88
2025-03-27 15:22:17.568467,5274.88
2025-03-27 15:22:17.579978,5274.88
2025-03-27 15:22:17.591460,5274.88
2025-03-27 15:22:17.602968,5274.88
2025-03-27 15:22:17.614461,5274.88
2025-03-27 15:22:17.626006,5234.30
2025-03-27 15:22:17.637507,5234.30
2025-03-27 15:22:17.649023,5234.30
2025-03-27 15:22:17.660616,5234.30
2025-03-27 15:22:17.672128,5234.30
2025-03-27 15:22:17.683651,5234.30
2025-03-27 15:22:17.695179,5234.30
2025-03-27 15:22:17.706683,5234.30
2025-03-27 15:22:17.718144,5193.73
2025-03-27 15:22:17.729621,5193.73
2025-03-27 15:22:17.741150,5193.73
2025-03-27 15:22:17.752662,5193.73
2025-03-27 15:22:17.764169,5193.73
2025-03-27 15:22:17.775676,5193.73
2025-03-27 15:22:17.787174,5201.92
2025-03-27 15:22:17.798657,5201.92
2025-03-27 15:22:17.810150,5201.92
2025-03-27 15:22:17.821615,5201.92
2025-03-27 15:22:17.833084,5201.92
2025-03-27 15:22:17.844628,5161.28
2025-03-27 15:22:17.856156,5161.28
2025-03-27 15:22:17.867652,5161.28
2025-03-27 15:22:17.879188,5161.28
2025-03-27 15:22:17.890730,5161.28
2025-03-27 15:22:17.902263,5161.28
2025-03-27 15:22:17.913780,5161.28
2025-03-27 15:22:17.925276,5161.28
2025-03-27 15:22:17.936759,5161.28
2025-03-27 15:22:17.948257,5161.28
2025-03-27 15:22:17.959769,5161.28
2025-03-27 15:22:17.971240,5161.28
2025-03-27 15:22:17.982736,5161.28
2025-03-27 15:22:17.994211,5161.28
2025-03-27 15:22:18.005692,5161.28
2025-03-27 15:22:18.017186,5161.28
2025-03-27 15:22:18.028729,5120.64
2025-03-27 15:22:18.040223,5120.64
2025-03-27 15:22:18.051739,5120.64
2025-03-27 15:22:18.063203,5120.64
2025-03-27 15:22:18.074784,5120.64
2025-03-27 15:22:18.086300,5120.64
2025-03-27 15:22:18.097861,5120.64
2025-03-27 15:22:18.109353,5120.64
2025-03-27 15:22:18.120855,5120.64
2025-03-27 15:22:18.132331,5120.64
2025-03-27 15:22:18.143876,5112.58
2025-03-27 15:22:18.155370,5120.64
2025-03-27 15:22:18.166873,5120.64
2025-03-27 15:22:18.178344,5120.64
2025-03-27 15:22:18.189840,5120.64
2025-03-27 15:22:18.201326,5120.64
2025-03-27 15:22:18.212840,5120.64
2025-03-27 15:22:18.224313,5120.64
2025-03-27 15:22:18.235838,5120.64
2025-03-27 15:22:18.247448,5120.64
2025-03-27 15:22:18.258954,5120.64
2025-03-27 15:22:18.270472,5120.64
2025-03-27 15:22:18.282016,5120.64
2025-03-27 15:22:18.293500,5112.58
2025-03-27 15:22:18.305072,5120.64
2025-03-27 15:22:18.316544,5120.64
2025-03-27 15:22:18.328008,5120.64
2025-03-27 15:22:18.339495,5120.64
2025-03-27 15:22:18.351031,5120.64
