Timestamp (s),Power (mW)
2025-03-27 15:40:10.965016,3.55
2025-03-27 15:40:11.002661,3.54
2025-03-27 15:40:11.037977,3.57
2025-03-27 15:40:11.073163,3.54
2025-03-27 15:40:11.108329,3.53
2025-03-27 15:40:11.143353,3.56
2025-03-27 15:40:11.178914,3.64
2025-03-27 15:40:11.214915,3.53
2025-03-27 15:40:11.250038,3.56
2025-03-27 15:40:11.285222,3.54
2025-03-27 15:40:11.320215,3.54
2025-03-27 15:40:11.355245,3.55
2025-03-27 15:40:11.390396,3.53
2025-03-27 15:40:11.425486,3.54
2025-03-27 15:40:11.460483,3.55
2025-03-27 15:40:11.496497,3.54
2025-03-27 15:40:11.531445,3.52
2025-03-27 15:40:11.566482,3.52
2025-03-27 15:40:11.601558,3.53
2025-03-27 15:40:11.637091,3.52
2025-03-27 15:40:11.674041,3.52
2025-03-27 15:40:11.709545,3.53
2025-03-27 15:40:11.745499,3.53
2025-03-27 15:40:11.780467,3.53
2025-03-27 15:40:11.815589,3.54
2025-03-27 15:40:11.850605,3.52
2025-03-27 15:40:11.885645,3.55
2025-03-27 15:40:11.920631,3.53
2025-03-27 15:40:11.956600,3.53
2025-03-27 15:40:11.992502,3.53
2025-03-27 15:40:12.027603,3.53
2025-03-27 15:40:12.063638,3.58
2025-03-27 15:40:12.098649,3.52
2025-03-27 15:40:12.133773,3.54
2025-03-27 15:40:12.169693,3.57
2025-03-27 15:40:12.204780,3.53
2025-03-27 15:40:12.239851,3.56
2025-03-27 15:40:12.274904,3.55
2025-03-27 15:40:12.309946,3.54
2025-03-27 15:40:12.344978,3.77
2025-03-27 15:40:12.380029,3.53
2025-03-27 15:40:12.415095,3.52
2025-03-27 15:40:12.450262,3.53
2025-03-27 15:40:12.485339,3.52
2025-03-27 15:40:12.520263,3.52
2025-03-27 15:40:12.555332,3.52
2025-03-27 15:40:12.590396,3.52
2025-03-27 15:40:12.626500,3.74
2025-03-27 15:40:12.661583,3.54
2025-03-27 15:40:12.697706,3.74
2025-03-27 15:40:12.732737,3.52
2025-03-27 15:40:12.768631,3.53
2025-03-27 15:40:12.804642,3.76
2025-03-27 15:40:12.839800,3.53
2025-03-27 15:40:12.875510,3.53
2025-03-27 15:40:12.910444,3.56
2025-03-27 15:40:12.945501,3.53
2025-03-27 15:40:12.980425,3.53
2025-03-27 15:40:13.015575,3.55
2025-03-27 15:40:13.051475,3.51
2025-03-27 15:40:13.086605,3.54
2025-03-27 15:40:13.121615,3.58
2025-03-27 15:40:13.156641,3.53
2025-03-27 15:40:13.191623,3.53
2025-03-27 15:40:13.226726,3.53
2025-03-27 15:40:13.261858,3.54
2025-03-27 15:40:13.297472,3.51
2025-03-27 15:40:13.332523,3.53
2025-03-27 15:40:13.367535,3.51
2025-03-27 15:40:13.402634,3.53
2025-03-27 15:40:13.438644,3.55
2025-03-27 15:40:13.473790,3.54
2025-03-27 15:40:13.508904,3.55
2025-03-27 15:40:13.543935,3.51
2025-03-27 15:40:13.579007,3.96
2025-03-27 15:40:13.614046,3.50
2025-03-27 15:40:13.649651,3.50
2025-03-27 15:40:13.684716,3.52
2025-03-27 15:40:13.719765,3.52
2025-03-27 15:40:13.754833,3.52
2025-03-27 15:40:13.789820,3.59
2025-03-27 15:40:13.824958,3.52
2025-03-27 15:40:13.860086,3.49
2025-03-27 15:40:13.895635,3.51
2025-03-27 15:40:13.930663,3.51
2025-03-27 15:40:13.965669,3.50
2025-03-27 15:40:14.001593,3.53
2025-03-27 15:40:14.036770,3.51
2025-03-27 15:40:14.071823,3.53
2025-03-27 15:40:14.106895,3.53
2025-03-27 15:40:14.143086,3.73
2025-03-27 15:40:14.178098,3.52
2025-03-27 15:40:14.214143,3.50
2025-03-27 15:40:14.249225,3.52
2025-03-27 15:40:14.284379,3.52
2025-03-27 15:40:14.319379,3.51
2025-03-27 15:40:14.354341,3.51
