Timestamp (s),Power (mW)
2025-05-14 03:20:02.871565,5964.67
2025-05-14 03:20:02.883183,5964.67
2025-05-14 03:20:02.894667,5924.10
2025-05-14 03:20:02.906106,5924.10
2025-05-14 03:20:02.917501,5883.52
2025-05-14 03:20:02.928889,5842.94
2025-05-14 03:20:02.940346,5842.94
2025-05-14 03:20:02.951850,5802.37
2025-05-14 03:20:02.963401,5802.37
2025-05-14 03:20:02.974966,5761.79
2025-05-14 03:20:02.986629,5761.79
2025-05-14 03:20:02.998203,5721.22
2025-05-14 03:20:03.009790,5721.22
2025-05-14 03:20:03.021368,5680.64
2025-05-14 03:20:03.033004,5680.64
2025-05-14 03:20:03.044609,5640.06
2025-05-14 03:20:03.056216,5640.06
2025-05-14 03:20:03.067819,5599.49
2025-05-14 03:20:03.079368,5599.49
2025-05-14 03:20:03.090951,5599.49
2025-05-14 03:20:03.102525,5558.91
2025-05-14 03:20:03.114120,5558.91
2025-05-14 03:20:03.125667,5558.91
2025-05-14 03:20:03.137206,5518.34
2025-05-14 03:20:03.148758,5518.34
2025-05-14 03:20:03.160341,5477.76
2025-05-14 03:20:03.171898,5477.76
2025-05-14 03:20:03.183456,5477.76
2025-05-14 03:20:03.195001,5437.18
2025-05-14 03:20:03.206569,5437.18
2025-05-14 03:20:03.218121,5437.18
2025-05-14 03:20:03.229742,5437.18
2025-05-14 03:20:03.241292,5396.61
2025-05-14 03:20:03.252916,5396.61
2025-05-14 03:20:03.264537,5396.61
2025-05-14 03:20:03.276133,5396.61
2025-05-14 03:20:03.287752,5356.03
2025-05-14 03:20:03.299306,5356.03
2025-05-14 03:20:03.310863,5356.03
2025-05-14 03:20:03.322409,5356.03
2025-05-14 03:20:03.333945,5315.46
2025-05-14 03:20:03.345552,5315.46
2025-05-14 03:20:03.357116,5315.46
2025-05-14 03:20:03.368680,5315.46
2025-05-14 03:20:03.380223,5315.46
2025-05-14 03:20:03.391815,5274.88
2025-05-14 03:20:03.403362,5274.88
2025-05-14 03:20:03.414949,5274.88
2025-05-14 03:20:03.426503,5274.88
2025-05-14 03:20:03.438164,5274.88
2025-05-14 03:20:03.449780,5234.30
2025-05-14 03:20:03.461376,5234.30
2025-05-14 03:20:03.472984,5234.30
2025-05-14 03:20:03.484558,5234.30
2025-05-14 03:20:03.496158,5234.30
2025-05-14 03:20:03.507710,5234.30
2025-05-14 03:20:03.519325,5234.30
2025-05-14 03:20:03.530903,5193.73
2025-05-14 03:20:03.542488,5193.73
2025-05-14 03:20:03.554072,5193.73
2025-05-14 03:20:03.565676,5193.73
2025-05-14 03:20:03.577219,5193.73
2025-05-14 03:20:03.588793,5193.73
2025-05-14 03:20:03.600395,5193.73
2025-05-14 03:20:03.612009,5193.73
2025-05-14 03:20:03.623655,5193.73
2025-05-14 03:20:03.635140,5193.73
2025-05-14 03:20:03.646752,5193.73
2025-05-14 03:20:03.658498,5193.73
2025-05-14 03:20:03.670114,5193.73
2025-05-14 03:20:03.681763,5153.15
2025-05-14 03:20:03.693367,5153.15
2025-05-14 03:20:03.705003,5153.15
2025-05-14 03:20:03.716598,5153.15
2025-05-14 03:20:03.728232,5153.15
2025-05-14 03:20:03.739801,5153.15
2025-05-14 03:20:03.751411,5153.15
2025-05-14 03:20:03.762992,5161.28
2025-05-14 03:20:03.774544,5161.28
2025-05-14 03:20:03.786093,5161.28
2025-05-14 03:20:03.797654,5161.28
2025-05-14 03:20:03.809222,5120.64
2025-05-14 03:20:03.820846,5120.64
2025-05-14 03:20:03.832445,5120.64
2025-05-14 03:20:03.844076,5120.64
2025-05-14 03:20:03.855671,5120.64
2025-05-14 03:20:03.867287,5120.64
2025-05-14 03:20:03.878929,5112.58
2025-05-14 03:20:03.890794,5112.58
2025-05-14 03:20:03.902461,5120.64
2025-05-14 03:20:03.914077,5120.64
2025-05-14 03:20:03.925704,5120.64
2025-05-14 03:20:03.937266,5120.64
2025-05-14 03:20:03.948830,5120.64
2025-05-14 03:20:03.960414,5120.64
2025-05-14 03:20:03.972014,5120.64
2025-05-14 03:20:03.983586,5120.64
2025-05-14 03:20:03.995203,5120.64
2025-05-14 03:20:04.006795,5120.64
2025-05-14 03:20:04.018432,5120.64
2025-05-14 03:20:04.029991,5120.64
2025-05-14 03:20:04.041748,5120.64
