Timestamp (s),Power (mW)
2025-03-28 01:49:12.835871,3.43
2025-03-28 01:49:12.872637,3.44
2025-03-28 01:49:12.907936,3.42
2025-03-28 01:49:12.943215,3.42
2025-03-28 01:49:12.978261,3.43
2025-03-28 01:49:13.013431,3.44
2025-03-28 01:49:13.048520,3.41
2025-03-28 01:49:13.083650,3.44
2025-03-28 01:49:13.118687,3.46
2025-03-28 01:49:13.153806,3.45
2025-03-28 01:49:13.188979,3.40
2025-03-28 01:49:13.225174,3.45
2025-03-28 01:49:13.260225,3.42
2025-03-28 01:49:13.295259,3.41
2025-03-28 01:49:13.330329,3.46
2025-03-28 01:49:13.365496,3.41
2025-03-28 01:49:13.400526,3.44
2025-03-28 01:49:13.435507,3.42
2025-03-28 01:49:13.470626,3.42
2025-03-28 01:49:13.505662,3.46
2025-03-28 01:49:13.540720,3.42
2025-03-28 01:49:13.575747,3.40
2025-03-28 01:49:13.610770,3.41
2025-03-28 01:49:13.645834,3.53
2025-03-28 01:49:13.680883,3.43
2025-03-28 01:49:13.715856,3.59
2025-03-28 01:49:13.751479,3.42
2025-03-28 01:49:13.786482,3.43
2025-03-28 01:49:13.821547,3.41
2025-03-28 01:49:13.856755,3.77
2025-03-28 01:49:13.892224,3.43
2025-03-28 01:49:13.927535,3.41
2025-03-28 01:49:13.962794,3.40
2025-03-28 01:49:13.997874,3.42
2025-03-28 01:49:14.033028,3.42
2025-03-28 01:49:14.069222,3.41
2025-03-28 01:49:14.104236,3.42
2025-03-28 01:49:14.139325,3.40
2025-03-28 01:49:14.174490,3.40
2025-03-28 01:49:14.209732,3.42
2025-03-28 01:49:14.244820,3.43
2025-03-28 01:49:14.279896,3.43
2025-03-28 01:49:14.314952,3.42
2025-03-28 01:49:14.349979,3.43
2025-03-28 01:49:14.385087,3.42
2025-03-28 01:49:14.420197,3.42
2025-03-28 01:49:14.455856,3.45
2025-03-28 01:49:14.493132,3.40
2025-03-28 01:49:14.528370,3.41
2025-03-28 01:49:14.563625,3.45
2025-03-28 01:49:14.598787,3.40
2025-03-28 01:49:14.634014,3.40
2025-03-28 01:49:14.669127,3.44
2025-03-28 01:49:14.704434,3.39
2025-03-28 01:49:14.739534,3.39
2025-03-28 01:49:14.774637,3.40
2025-03-28 01:49:14.809739,3.41
2025-03-28 01:49:14.844843,3.40
2025-03-28 01:49:14.880095,3.40
2025-03-28 01:49:14.915777,3.56
2025-03-28 01:49:14.950968,3.41
2025-03-28 01:49:14.986106,3.39
2025-03-28 01:49:15.021163,3.40
2025-03-28 01:49:15.056359,3.40
2025-03-28 01:49:15.098378,3.44
2025-03-28 01:49:15.133801,3.44
2025-03-28 01:49:15.168960,3.43
2025-03-28 01:49:15.204113,3.39
2025-03-28 01:49:15.239178,3.40
2025-03-28 01:49:15.274334,3.42
2025-03-28 01:49:15.309350,3.50
2025-03-28 01:49:15.344397,3.39
2025-03-28 01:49:15.379634,3.38
2025-03-28 01:49:15.419713,3.41
2025-03-28 01:49:15.454852,3.44
2025-03-28 01:49:15.489990,3.40
2025-03-28 01:49:15.526021,3.40
2025-03-28 01:49:15.561091,3.44
2025-03-28 01:49:15.596277,3.59
