Timestamp (s),Power (mW)
2025-03-28 01:48:20.692773,5964.67
2025-03-28 01:48:20.704429,5964.67
2025-03-28 01:48:20.715953,5924.10
2025-03-28 01:48:20.727451,5924.10
2025-03-28 01:48:20.739116,5883.52
2025-03-28 01:48:20.750696,5842.94
2025-03-28 01:48:20.762195,5842.94
2025-03-28 01:48:20.773719,5802.37
2025-03-28 01:48:20.785253,5802.37
2025-03-28 01:48:20.796729,5761.79
2025-03-28 01:48:20.808222,5761.79
2025-03-28 01:48:20.819691,5721.22
2025-03-28 01:48:20.831186,5721.22
2025-03-28 01:48:20.842740,5680.64
2025-03-28 01:48:20.854339,5680.64
2025-03-28 01:48:20.865881,5680.64
2025-03-28 01:48:20.877411,5640.06
2025-03-28 01:48:20.888925,5640.06
2025-03-28 01:48:20.900394,5599.49
2025-03-28 01:48:20.911890,5599.49
2025-03-28 01:48:20.923410,5599.49
2025-03-28 01:48:20.934967,5558.91
2025-03-28 01:48:20.946527,5558.91
2025-03-28 01:48:20.958093,5558.91
2025-03-28 01:48:20.969645,5518.34
2025-03-28 01:48:20.981157,5518.34
2025-03-28 01:48:20.992707,5518.34
2025-03-28 01:48:21.004173,5477.76
2025-03-28 01:48:21.015642,5477.76
2025-03-28 01:48:21.027125,5477.76
2025-03-28 01:48:21.038648,5437.18
2025-03-28 01:48:21.050148,5437.18
2025-03-28 01:48:21.061701,5437.18
2025-03-28 01:48:21.073206,5437.18
2025-03-28 01:48:21.085050,5396.61
2025-03-28 01:48:21.096649,5396.61
2025-03-28 01:48:21.108156,5396.61
2025-03-28 01:48:21.119681,5396.61
2025-03-28 01:48:21.131176,5356.03
2025-03-28 01:48:21.142680,5356.03
2025-03-28 01:48:21.154217,5356.03
2025-03-28 01:48:21.165711,5356.03
2025-03-28 01:48:21.177183,5356.03
2025-03-28 01:48:21.188706,5315.46
2025-03-28 01:48:21.200172,5315.46
2025-03-28 01:48:21.211657,5315.46
2025-03-28 01:48:21.223141,5315.46
2025-03-28 01:48:21.234623,5315.46
2025-03-28 01:48:21.246153,5315.46
2025-03-28 01:48:21.257727,5274.88
2025-03-28 01:48:21.269236,5274.88
2025-03-28 01:48:21.280741,5274.88
2025-03-28 01:48:21.292252,5274.88
2025-03-28 01:48:21.303779,5274.88
2025-03-28 01:48:21.315283,5274.88
2025-03-28 01:48:21.326786,5234.30
2025-03-28 01:48:21.338412,5234.30
2025-03-28 01:48:21.349988,5242.56
2025-03-28 01:48:21.361535,5242.56
2025-03-28 01:48:21.373092,5242.56
2025-03-28 01:48:21.384577,5242.56
2025-03-28 01:48:21.396068,5242.56
2025-03-28 01:48:21.407534,5242.56
2025-03-28 01:48:21.419017,5193.73
2025-03-28 01:48:21.430496,5201.92
2025-03-28 01:48:21.442018,5201.92
2025-03-28 01:48:21.453535,5201.92
2025-03-28 01:48:21.465066,5201.92
2025-03-28 01:48:21.476546,5201.92
2025-03-28 01:48:21.488040,5201.92
2025-03-28 01:48:21.499569,5201.92
2025-03-28 01:48:21.511061,5201.92
2025-03-28 01:48:21.522538,5161.28
2025-03-28 01:48:21.534073,5161.28
2025-03-28 01:48:21.545556,5161.28
2025-03-28 01:48:21.557104,5161.28
2025-03-28 01:48:21.568747,5161.28
2025-03-28 01:48:21.580263,5161.28
2025-03-28 01:48:21.591770,5161.28
2025-03-28 01:48:21.603260,5161.28
2025-03-28 01:48:21.614757,5161.28
2025-03-28 01:48:21.626244,5161.28
2025-03-28 01:48:21.637889,5161.28
2025-03-28 01:48:21.649404,5161.28
2025-03-28 01:48:21.660892,5161.28
